Customer ID,frequency,recency,T,monetary_value,CLV_BGNBD,Units Sold,Revenue,CLV_Linear,CLV_DecisionTree,CLV_XGBoost,CLV_LightGBM,CLV_CatBoost
3,0.0,0.0,274.0,0.0,,6,29.3,1.8739892193198515,1.5700575856160297,0.9645066,0.8784369324221272,0.5857368290109308
8,3.0,132.0,222.0,12.116666666666665,9.963974563849533,14,64.72,10.064222138372475,14.071252795590777,11.870946,10.76624213033114,10.375943132091953
9,1.0,40.0,91.0,9.44,5.490733522857728,9,51.66,8.572043848111964,5.490733522857728,5.4610624,5.900505178846196,5.280997953770956
20,2.0,602.0,733.0,23.314999999999998,5.731412351701714,13,59.269999999999996,5.301427306180388,5.731412351701714,5.7541575,5.608379596149601,5.825181746427383
24,1.0,92.0,140.0,3.72,2.6081898866752566,6,8.700000000000001,3.810191706642996,2.6081898866752566,2.6104038,2.6787496286919947,2.6589806200250723
26,2.0,141.0,451.0,13.505,3.678736232868041,9,34.88,3.805073522847193,3.678736232868041,3.728652,3.9639859866474727,3.720990746756951
28,2.0,612.0,715.0,19.115,4.915710571615904,11,49.269999999999996,4.1808692023896095,4.915710571615904,4.941542,4.854477461968196,4.93473686261971
30,2.0,462.0,662.0,11.765,3.2281776424141624,10,50.370000000000005,3.28761772130048,3.2281776424141624,3.2180166,3.255372594021044,2.941301927594597
32,0.0,0.0,249.0,0.0,,3,4.27,0.16858841808118097,1.0625347642413732,1.0032269,0.9387779986706868,0.6045648474116625
36,3.0,135.0,526.0,6.633333333333333,1.653571375578974,17,35.2,2.635051780377477,1.653571375578974,1.619668,1.5527752628452394,1.7574324955320035
39,0.0,0.0,352.0,0.0,,4,14.28,-0.489802725427924,0.6878891425254019,0.62371707,0.396045375243124,0.6224181718835835
41,1.0,391.0,460.0,2.48,1.0514643485667499,6,10.74,0.5956720875533947,1.0514643485667499,1.0484228,1.0872517119173342,1.062193744735139
42,2.0,167.0,222.0,8.415,5.524477969267676,11,24.16,5.686382970309752,5.524477969267676,5.519616,5.305883038824601,5.325105688729586
43,1.0,401.0,683.0,15.93,2.203473537477568,7,30.63,0.9268964338213252,2.203473537477568,2.2006392,2.343278594523993,2.2252870919541117
44,4.0,160.0,609.0,19.185,3.136030768860632,22,82.4,7.904483742755567,3.136030768860632,3.120415,3.4181950425225223,3.1270932844468224
45,1.0,11.0,248.0,4.42,1.3235167416122267,12,17.09,2.765979463825058,1.3235167416122267,1.3169886,1.3169071877403338,1.392778457608438
47,0.0,0.0,151.0,0.0,,4,5.9,1.7268903130339872,1.0625347642413732,1.745212,1.7872037636271483,1.6421108979763455
48,6.0,170.0,240.0,7.786666666666666,11.565822466053358,27,60.0,11.394238165427208,11.565822466053358,11.587435,11.98894535754105,11.629562320221071
49,2.0,186.0,620.0,12.21,2.3536262146680436,16,33.71,1.4459056317513581,2.4025415026141186,2.3773506,2.5317729206755106,2.562266056458048
52,3.0,195.0,344.0,17.136666666666667,9.919461660511542,17,59.080000000000005,8.909744036972278,9.919461660511542,9.86547,9.815042727863998,9.801747987894474
55,1.0,416.0,543.0,8.45,1.791737489843454,8,18.22,0.9899294233847509,1.791737489843454,1.7987471,1.7782906410860766,1.8165660085328392
