iter	RMSE
0	5.510172619
1	5.328600661
2	5.147011188
3	4.96653167
4	4.794045321
5	4.63854394
6	4.483098359
7	4.33789622
8	4.195644755
9	4.063884395
10	3.939758122
11	3.813002931
12	3.697263277
13	3.584522999
14	3.476995979
15	3.379168302
16	3.277135117
17	3.183923987
18	3.099294946
19	3.013471071
20	2.940403242
21	2.862449268
22	2.794412104
23	2.722116499
24	2.656461722
25	2.585072092
26	2.525274934
27	2.464652059
28	2.407198053
29	2.352266196
30	2.299514934
31	2.252852948
32	2.203269084
33	2.159470407
34	2.113508424
35	2.075885674
36	2.032191239
37	1.990315252
38	1.958564266
39	1.924093594
40	1.887249464
41	1.854917769
42	1.82263547
43	1.792282946
44	1.761408017
45	1.732290795
46	1.704040133
47	1.677733807
48	1.652181561
49	1.627553538
50	1.605368552
51	1.582989597
52	1.560499073
53	1.539532877
54	1.519718838
55	1.498605315
56	1.481496254
57	1.462148703
58	1.442888051
59	1.42654537
60	1.408857459
61	1.392116738
62	1.377030146
63	1.36279236
64	1.345745548
65	1.332378991
66	1.318328916
67	1.305937331
68	1.293753114
69	1.283246888
70	1.271398979
71	1.258131737
72	1.246732618
73	1.236428663
74	1.227478685
75	1.21858455
76	1.208504761
77	1.19950385
78	1.188776541
79	1.178999543
80	1.170123402
81	1.160156122
82	1.152437821
83	1.144596875
84	1.135697423
85	1.129426536
86	1.123661817
87	1.117237384
88	1.110489355
89	1.10189394
90	1.095243911
91	1.089455307
92	1.083363523
93	1.077236439
94	1.069880153
95	1.063884147
96	1.05655803
97	1.051213966
98	1.045261036
99	1.039780859
100	1.034770507
101	1.029561511
102	1.024105775
103	1.019562534
104	1.013810055
105	1.008463163
106	1.004232805
107	1.000144809
108	0.9950657133
109	0.9897619901
110	0.9851558642
111	0.9809812967
112	0.9760563064
113	0.9719716348
114	0.9690744567
115	0.9654447722
116	0.960472641
117	0.9559536133
118	0.9512432596
119	0.9463915895
120	0.942668491
121	0.9387315315
122	0.9362362586
123	0.9328939256
124	0.9301347418
125	0.927278125
126	0.9240291882
127	0.919912263
128	0.9159096756
129	0.9130611323
130	0.909052281
131	0.9059538477
132	0.9016044322
133	0.8986550392
134	0.8960620923
135	0.8932349916
