iter	RMSE
0	5.518010918
1	5.323521085
2	5.142047879
3	4.961917615
4	4.796785125
5	4.636294229
6	4.479674102
7	4.342112342
8	4.211442351
9	4.077423588
10	3.944622469
11	3.827047078
12	3.712616969
13	3.60730163
14	3.501404217
15	3.4085618
16	3.313236197
17	3.213371771
18	3.129483181
19	3.047853941
20	2.97798518
21	2.897248369
22	2.822192771
23	2.751763685
24	2.680124045
25	2.616909703
26	2.553053005
27	2.499030433
28	2.444305429
29	2.390829104
30	2.336393353
31	2.282746006
32	2.231511256
33	2.187706213
34	2.142766697
35	2.100509433
36	2.065812073
37	2.022015868
38	1.981313076
39	1.950002829
40	1.909674152
41	1.875041317
42	1.841002273
43	1.80900188
44	1.777787508
45	1.747159059
46	1.718687075
47	1.69050709
48	1.664228434
49	1.639804574
50	1.619359166
51	1.597960426
52	1.576291516
53	1.554995795
54	1.532421635
55	1.512822116
56	1.498257953
57	1.481753677
58	1.463038924
59	1.443164581
60	1.424436322
61	1.408671977
62	1.393259718
63	1.376523306
64	1.360562827
65	1.345608309
66	1.329281645
67	1.318294376
68	1.31050758
69	1.297179407
70	1.284318706
71	1.27205108
72	1.260852334
73	1.247553759
74	1.237613507
75	1.227436004
76	1.216438152
77	1.206738193
78	1.196285382
79	1.188439484
80	1.181368728
81	1.171517382
82	1.161365992
83	1.152399305
84	1.144888527
85	1.137250826
86	1.128554869
87	1.120367148
88	1.115979151
89	1.106582891
90	1.09850411
91	1.091465605
92	1.085217249
93	1.078729051
94	1.071555977
95	1.06653897
96	1.059723293
97	1.054298337
98	1.049041709
99	1.042602572
100	1.037026628
101	1.032230202
102	1.026163115
103	1.021787789
104	1.016297436
105	1.009487219
106	1.004596103
107	0.9993416228
108	0.9951231671
109	0.9909248401
110	0.9852357423
111	0.9815824229
112	0.9765738482
113	0.9714992945
114	0.9670738082
115	0.9622084724
116	0.9585651141
117	0.9538497689
118	0.9497401838
119	0.9457033532
120	0.9417609683
121	0.939138432
122	0.9356313096
123	0.9317818449
124	0.9294126674
125	0.9259050853
126	0.9219400233
127	0.9192160217
128	0.9148854019
129	0.9127953507
130	0.9105373836
131	0.9075706383
132	0.9052835335
133	0.9019612896
134	0.897854839
135	0.8939238164
136	0.8910615823
137	0.8876077073
138	0.885274315
139	0.8808993758
140	0.8781036267
141	0.874949596
142	0.8714635335
143	0.8670214153
144	0.8639521014
145	0.8620329405
146	0.8598112223
147	0.8576374097
148	0.8544126315
149	0.8509145111
150	0.8493093558
151	0.847558785
152	0.8442912334
153	0.8425434892
154	0.8407494967
155	0.8387258459
156	0.8365283172
157	0.8327975212
158	0.8299627951
159	0.8274029175
160	0.8244505858
161	0.8209949469
162	0.8181269213
163	0.8156997208
164	0.8134144974
165	0.8118577546
166	0.8091656966
167	0.8064593811
168	0.8037895964
169	0.8024727841
170	0.8002064726
171	0.798354285
172	0.7958138376
173	0.7919998593
174	0.7900175376
175	0.7876567416
176	0.7852114003
177	0.7825679459
178	0.7799089569
179	0.7773861124
180	0.775894845
181	0.7736556337
182	0.7709982348
183	0.768676094
184	0.7669881124
185	0.7653818346
186	0.7642372491
187	0.7619091525
188	0.7608504612
189	0.7574317742
190	0.7537193228
191	0.7528606086
192	0.7512438246
193	0.7492216821
194	0.7486523353
195	0.7451212371
196	0.7445430728
197	0.7439928141
198	0.7417791917
199	0.7400191309
200	0.7379229227
201	0.7359024101
202	0.7348369237
203	0.731819223
204	0.7293476685
205	0.7282109351
206	0.7258592967
207	0.7248713349
208	0.7216985231
209	0.7194278618
210	0.717420653
211	0.7166636503
212	0.7157658458
213	0.7129466482
214	0.7122183575
215	0.7111245857
216	0.7084988312
217	0.7080070144
218	0.7063858473
219	0.7050118176
220	0.7035519125
221	0.7010588547
222	0.6994959071
223	0.6972032181
224	0.6953085696
225	0.6930587332
226	0.6907455463
227	0.6891468641
228	0.686438007
229	0.6846892571
230	0.6827558064
231	0.6822931387
232	0.6803161708
233	0.6780145196
234	0.6770149885
235	0.6754138946
236	0.6739556974
237	0.6725808371
238	0.6702151844
239	0.6678811425
240	0.6650169448
241	0.6645517114
242	0.6617687676
243	0.6602258344
244	0.6573554102
245	0.6548919342
246	0.6543361678
247	0.6528043691
248	0.6522456541
249	0.650361926
250	0.6473645205
251	0.6452508396
252	0.6435459901
253	0.6422050254
254	0.6402254672
255	0.6390399717
256	0.6385244147
257	0.6371355017
258	0.6349897625
259	0.6339259366
260	0.6325360368
261	0.6314598708
262	0.6309489405
263	0.6294807096
264	0.6290777339
265	0.6269780861
266	0.6264903077
267	0.6246571394
268	0.6235965274
269	0.6223423012
270	0.6205244552
271	0.6192400714
272	0.6174975407
273	0.6151344944
274	0.6146759531
275	0.6126781409
276	0.6109088947
277	0.6104682837
278	0.6095249335
279	0.6079578976
280	0.6065293825
281	0.6061004355
282	0.6042640133
283	0.6026369164
284	0.6023260706
285	0.6019876613
286	0.6015856766
287	0.6012574804
288	0.600938085
289	0.6003987162
290	0.5988508757
291	0.5965135011
292	0.5946650482
293	0.5937227568
294	0.592197178
295	0.5901701451
296	0.5889149397
297	0.5874362544
298	0.5850848914
299	0.5838929676
300	0.5814947054
301	0.580305213
302	0.5783125061
303	0.5771325063
304	0.575372611
305	0.5741388717
306	0.5738644466
307	0.5730783478
308	0.57132149
309	0.569775193
310	0.5688378985
311	0.5679558483
312	0.5672184593
313	0.5658119777
314	0.5655325492
315	0.5646356204
316	0.5643626363
317	0.5628112753
318	0.5614475743
319	0.5599142101
320	0.558545837
321	0.5567524504
322	0.556489602
323	0.5552491339
324	0.5539690941
325	0.5527888152
326	0.5524657447
327	0.5515226164
328	0.5501501021
329	0.5498341973
330	0.5481212185
331	0.5466056195
332	0.5457781743
333	0.5440623127
334	0.542940096
335	0.5411103645
336	0.540493712
337	0.5384443718
338	0.5366971502
339	0.5349973454
340	0.532990437
341	0.5308996654
342	0.5292355986
343	0.5279175582
344	0.5266098224
345	0.5253023438
346	0.5241966176
347	0.5227739667
348	0.5214865945
349	0.5201341482
350	0.5192829419
351	0.5185892529
352	0.5172717223
353	0.5159815962
354	0.5147802996
355	0.5145621178
356	0.5131252224
357	0.5118185484
358	0.5106975539
359	0.5090959795
360	0.5087248528
361	0.5068765627
362	0.5055073758
363	0.5036389306
364	0.5022259829
365	0.5010973517
366	0.4993162557
367	0.4979443466
368	0.4968243668
369	0.495772747
370	0.4947403221
371	0.4938410645
372	0.4926181507
373	0.4918245716
374	0.4901056091
375	0.4898925376
376	0.489684617
377	0.4882640246
378	0.4880650858
379	0.4865418105
380	0.4855789966
381	0.4839028594
382	0.4822379346
383	0.4811045531
384	0.4796198685
385	0.4781945628
386	0.4766915537
387	0.4755741285
388	0.4741620692
389	0.4739710203
390	0.4722510719
391	0.4710102297
392	0.4695134007
393	0.4682645408
394	0.4667870693
395	0.465728427
396	0.4646678296
397	0.4635805164
398	0.4632969722
399	0.4623606715
400	0.4613498602
401	0.4602305112
402	0.4600466524
403	0.4589417389
404	0.457572853
405	0.4566002226
406	0.4555245021
407	0.4540936103
408	0.4530136763
409	0.4522538288
410	0.4515725205
411	0.451374835
412	0.4501935642
413	0.4488640949
414	0.4479142184
415	0.446940028
416	0.4458743536
417	0.4445059722
418	0.443665449
419	0.4423058404
420	0.4417079777
421	0.4415347082
422	0.4404042029
423	0.4395897198
424	0.4385958891
425	0.4375992046
426	0.4364540019
427	0.4356248788
428	0.4348133575
429	0.4337293777
430	0.4326200344
431	0.4310099844
432	0.4298547093
433	0.4286888884
434	0.4277982368
435	0.4267061797
436	0.4257478427
437	0.4248662834
438	0.4241523509
439	0.4232083881
440	0.4226705842
441	0.4219766348
442	0.4212412966
443	0.4203320561
444	0.4192472129
445	0.4184049557
446	0.4171167499
447	0.4162973421
448	0.4156185801
449	0.4149433975
450	0.4142485066
451	0.4133528955
452	0.4126824287
453	0.4120731639
454	0.4113166146
455	0.4105172988
456	0.4092416635
457	0.408506274
458	0.4076519025
459	0.4072021988
460	0.4067181891
461	0.4059229258
462	0.4049409405
463	0.4042021997
464	0.4036851298
465	0.4029865116
466	0.4022566651
467	0.4012263369
468	0.4004922283
469	0.4001425072
470	0.399620772
471	0.3991557368
472	0.3989967538
473	0.3987625328
474	0.3980731408
475	0.3979177661
476	0.3967658298
477	0.3959086936
478	0.3950298582
479	0.3945427287
480	0.393546492
481	0.3931332209
482	0.3925554022
483	0.3919142554
484	0.3911376219
485	0.3902487674
486	0.389854881
487	0.3891477262
488	0.3887041242
489	0.3881198898
490	0.3876169956
491	0.3868675483
492	0.3861264636
493	0.385277509
494	0.3848002065
495	0.3842238497
496	0.3833716458
497	0.3825853908
498	0.3817794437
499	0.3810064434
500	0.3804654474
501	0.3800616148
502	0.379523186
503	0.3784592734
504	0.3776622862
505	0.377188207
506	0.3760113871
507	0.3753444659
508	0.3746036299
509	0.3739935155
510	0.3732337724
511	0.3728048521
512	0.3719762771
513	0.3713025407
514	0.3705511098
515	0.3700484136
516	0.3699043706
517	0.36901738
518	0.3683002709
519	0.3680808175
520	0.3672462617
521	0.3664732231
522	0.3657136797
523	0.3649514717
524	0.3640876334
525	0.3632549159
526	0.3628729016
527	0.3626043641
528	0.3615852395
529	0.3610961869
530	0.3599701964
531	0.3593385004
532	0.3587966068
533	0.3584352656
534	0.3583019571
535	0.3575813612
536	0.3571338855
537	0.3564247977
538	0.3560744678
539	0.3553953193
540	0.3549244947
541	0.3540748828
542	0.3539499149
543	0.3530200834
544	0.3523620877
545	0.3518578872
546	0.351052911
547	0.3504388753
548	0.3498312716
549	0.3494384291
550	0.3487041752
551	0.3480688499
552	0.3475421952
553	0.347201247
554	0.3468601607
555	0.3464988439
556	0.3459092782
557	0.34527406
558	0.3446969065
559	0.3440629865
560	0.3433600521
561	0.3430450204
562	0.342187632
563	0.3415752519
564	0.3411312355
565	0.3400925994
566	0.3392313216
567	0.3386403797
568	0.338159769
569	0.3374597918
570	0.3367981492
571	0.3364096217
572	0.3357798326
573	0.3352873759
574	0.3346620348
575	0.3341320842
576	0.3334520896
577	0.332917159
578	0.3327583978
579	0.3326479028
580	0.3321458612
581	0.3317859703
582	0.3312166644
583	0.3306397091
584	0.3301937024
585	0.3295570935
586	0.3291414623
587	0.3286886888
588	0.3279752504
589	0.3275594858
590	0.3270523096
591	0.3263198661
592	0.3258241995
593	0.325477995
594	0.3248447802
595	0.324328589
596	0.3237445955
597	0.3232962848
598	0.3228211112
599	0.3220601436
600	0.3217520521
601	0.3213839935
602	0.3210471128
603	0.3207317687
604	0.3201180492
605	0.3196276609
606	0.3193641552
607	0.3190906419
608	0.3184362757
609	0.3179296287
610	0.3173134037
611	0.3168207144
612	0.3161104213
613	0.315620401
614	0.3149767505
615	0.3147725171
616	0.3142410302
617	0.313747107
618	0.3135566114
619	0.3131287477
620	0.3127146693
621	0.3120481156
622	0.3116103568
623	0.3112496794
624	0.3107316382
625	0.3103014687
626	0.309989453
627	0.3096028001
628	0.3093378319
629	0.3089933595
