CustomerID,num_txns,purchase_span,num_days,avg_qty,total_spent,avg_spent,online_spent,offline_spent,avg_discount,num_coupons,category_diversity,common_month,base_clv,spent_bucket,discount_bucket,predicted_clv,segment
12347,31,223,60,5.7,13834.9,230.58166666666665,127339.54,120000.0,25.084745762711865,12,10,3,846.7071357280056,VIP,Extreme,1485.77,High Value
12348,8,119,23,9.08695652173913,1442.12,62.70086956521739,47477.33,74500.0,24.782608695652176,10,6,6,314.82855451355977,Low,High,176.44508,Low Value
12370,44,30,91,6.736263736263736,6914.31,75.98142857142858,236075.83000000002,95000.0,20.88888888888889,12,10,5,73.43749062731716,VIP,High,44.498497,Low Value
12377,37,139,77,5.467532467532467,9950.31,129.22480519480519,106921.19,171000.0,14.342105263157896,11,9,7,4000.982995883272,VIP,Low,2517.0676,High Value
12383,39,72,69,2.681159420289855,4954.12,71.79884057971014,153732.56,172500.0,14.705882352941176,15,10,7,447.273524608263,High,Low,475.279,Medium Value
12386,6,123,10,1.5,581.89,58.189,25970.62,21000.0,26.0,5,4,3,10.8515844221203,Low,Extreme,-1.1029851,Low Value
12393,13,14,22,5.409090909090909,2233.43,101.51954545454545,67585.65000000001,75500.0,20.0,7,7,8,108.18271570938039,Med,Mid,250.81367,Low Value
12395,14,161,32,1.90625,1383.64,43.23875,66496.26,66500.0,25.625,9,6,6,97.07433706404031,Low,Extreme,225.43745,Low Value
12413,10,22,26,9.961538461538462,2916.34,112.16692307692308,25804.96,40000.0,10.384615384615385,6,5,7,4.439189493023503,Med,Low,266.5638,Medium Value
12414,6,1,7,1.0,601.36,85.90857142857143,23372.39,28000.0,30.0,5,5,12,589.3562363691334,Low,Extreme,692.2384,Medium Value
12415,24,18,47,3.595744680851064,2772.5299999999997,58.989999999999995,76221.43000000001,118500.0,10.212765957446809,8,8,7,2.5599628731036375,Med,Low,314.92224,Medium Value
12417,15,114,30,5.233333333333333,1661.75,55.391666666666666,36591.61,61000.0,18.333333333333332,11,7,10,351.30981124733495,Med,Mid,404.45712,Medium Value
12422,9,1,13,7.769230769230769,1024.1200000000001,78.77846153846154,19043.61,32500.0,30.0,4,5,9,244.3541464117565,Low,Extreme,150.97664,Low Value
12427,3,163,13,13.076923076923077,1326.77,102.05923076923077,13119.720000000001,14500.0,17.692307692307693,6,6,2,177.87565325956567,Low,Mid,88.61396,Low Value
12431,32,323,44,1.2954545454545454,5600.17,127.27659090909091,72708.53,128000.0,19.09090909090909,11,7,11,1023.1365729950124,High,Mid,1126.3772,High Value
12433,55,91,147,10.16326530612245,13829.98,94.08149659863945,210099.93,587000.0,10.0,8,10,4,548.9636010916597,VIP,Low,677.13196,Medium Value
12437,14,112,18,1.4444444444444444,2466.96,137.05333333333334,51183.09,60500.0,25.555555555555557,7,5,12,1185.403720376505,Med,Extreme,1113.6368,High Value
12441,11,1,11,1.4545454545454546,1731.18,157.38,11991.739999999998,22000.0,30.0,3,3,3,5.108634187737954,Med,Extreme,-89.36128,Low Value
12471,70,332,128,2.1796875,13907.84,108.655,276876.10000000003,375500.0,17.559055118110237,19,11,4,2725.580882383758,VIP,Mid,2671.732,High Value
12472,67,292,126,4.031746031746032,11417.33,90.61373015873016,361803.82,434000.0,15.6,16,13,2,3091.5303606025846,VIP,Mid,2594.4272,High Value
12474,27,240,36,6.25,6791.94,188.665,50513.63,80000.0,18.333333333333332,10,5,10,1397.9357374670853,VIP,Mid,1425.322,High Value
12476,13,194,27,11.185185185185185,3155.61,116.87444444444445,45715.2,78000.0,20.0,7,8,11,1770.6776344422635,High,Mid,1096.2433,High Value
12481,13,113,46,16.456521739130434,10068.55,218.88152173913042,78809.18000000001,96000.0,15.217391304347826,12,8,8,1058.0834585294306,VIP,Low,1515.4286,High Value
12494,5,99,7,1.2857142857142858,414.91,59.27285714285715,11574.380000000001,20000.0,18.571428571428573,7,5,4,26.28354257396374,Low,Mid,-17.490072,Low Value
12501,71,110,160,3.7875,10021.23,62.632687499999996,386635.13,251000.0,20.0,10,11,8,3648.701413258346,VIP,Mid,3124.8818,High Value
12524,5,1,16,1.4375,547.75,34.234375,30926.280000000002,56000.0,20.0,5,5,8,66.74653792221851,Low,Mid,3.3517704,Low Value
12539,100,88,187,2.5989304812834226,19024.0,101.73262032085562,299653.73000000004,624000.0,20.0,10,11,11,5032.246746343437,VIP,Mid,5177.721,High Value
12540,32,212,64,4.84375,4120.18,64.3778125,143295.58000000002,219500.0,22.03125,13,9,8,989.0694215393654,High,High,811.3069,High Value
12553,14,54,39,2.3333333333333335,1478.7,37.91538461538462,53211.399999999994,117500.0,19.743589743589745,11,11,8,474.2713025996615,Low,Mid,224.41006,Low Value
12557,4,196,9,1.1111111111111112,277.62,30.846666666666668,21226.09,17500.0,20.0,1,1,2,39.41228232569349,Low,Mid,111.58775,Low Value
12559,11,60,22,6.181818181818182,2786.23,126.64681818181818,60012.26,78000.0,11.818181818181818,5,5,10,238.349882394354,Med,Low,806.0904,High Value
12567,71,310,146,3.5547945205479454,12235.27,83.8032191780822,279291.02999999997,512500.0,25.684931506849313,14,10,2,2747.2289505949097,VIP,Extreme,2256.0793,High Value
12578,40,108,76,1.5263157894736843,5677.5,74.70394736842105,97827.92,229500.0,19.86842105263158,9,9,8,1828.4338775209517,High,Mid,1099.8102,High Value
12583,15,213,42,3.6904761904761907,2361.48,56.22571428571429,95921.12,123000.0,15.238095238095237,12,9,8,387.211538812915,Med,Low,454.5669,Medium Value
12585,26,10,74,2.864864864864865,3809.52,51.48,141833.36000000002,185000.0,10.0,8,11,7,141.75613083061094,High,Low,280.60193,Medium Value
12600,8,315,15,1.0666666666666667,783.38,52.22533333333333,39706.020000000004,50900.0,28.666666666666668,5,4,12,221.9868062390729,Low,Extreme,227.42334,Low Value
